student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,final_grade_category,final_grade_binary
1,Male,4.0,98.0,6.5,Bachelors,Yes,Yes,No,76.9,100.0,A,High Grade,1
2,Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5,100.0,A,High Grade,1
3,Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3,A,High Grade,1
4,Male,2.6,77.5,8.0,Unknown,Yes,Yes,No,85.1,83.8,B,High Grade,1
5,Male,2.2,89.6,4.6,Bachelors,Yes,No,Yes,61.8,68.3,D,Low Grade,0
6,Female,4.2,78.2,5.7,High School,Yes,No,No,79.8,81.6,B,High Grade,1
7,Male,1.5,100.0,5.0,High School,Yes,Yes,Yes,58.6,69.6,D,Low Grade,0
8,Male,6.2,86.4,6.0,High School,Yes,Yes,No,78.4,88.0,B,High Grade,1
9,Male,5.3,81.3,6.7,Bachelors,Yes,No,No,63.8,84.4,B,High Grade,1
10,Female,2.8,86.8,5.1,Bachelors,Yes,Yes,No,57.7,74.3,C,Low Grade,0
11,Male,0.9,71.5,5.7,High School,Yes,No,Yes,73.4,68.9,D,Low Grade,0
12,Male,5.5,75.3,5.6,Unknown,Yes,Yes,No,37.9,76.7,C,Low Grade,0
13,Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0,82.6,B,High Grade,1
14,Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9,93.3,A,High Grade,1
15,Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71.0,73.9,C,Low Grade,0
16,Male,2.6,90.4,7.0,High School,Yes,Yes,No,65.6,84.8,B,High Grade,1
17,Female,3.5,96.9,6.1,Bachelors,Yes,Yes,No,51.0,81.5,B,High Grade,1
18,Female,3.6,92.2,6.5,Bachelors,Yes,Yes,Yes,60.2,75.5,C,Low Grade,0
19,Female,2.8,95.0,8.8,Masters,No,Yes,No,74.7,89.7,B,High Grade,1
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0,92.8,A,High Grade,1
21,Female,1.9,70.8,5.2,High School,Yes,Yes,No,69.8,73.5,C,Low Grade,0
22,Male,3.3,100.0,7.8,Unknown,Yes,Yes,No,83.9,100.0,A,High Grade,1
23,Female,3.7,81.8,7.8,High School,No,No,No,74.8,73.4,C,Low Grade,0
24,Female,4.3,82.5,5.4,PhD,No,Yes,No,61.0,71.2,C,Low Grade,0
25,Female,4.6,98.3,7.8,Unknown,Yes,Yes,Yes,66.6,97.2,A,High Grade,1
26,Female,1.8,90.6,8.6,High School,Yes,No,No,53.2,76.0,C,Low Grade,0
27,Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7,78.7,C,Low Grade,0
28,Female,5.4,100.0,5.7,High School,No,No,No,83.3,97.4,A,High Grade,1
29,Female,4.0,78.6,8.0,Bachelors,Yes,No,No,78.2,84.2,B,High Grade,1
30,Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8,B,High Grade,1
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B,High Grade,1
32,Male,3.7,87.7,7.2,Unknown,Yes,Yes,No,86.2,87.7,B,High Grade,1
33,Female,5.3,100.0,7.3,Masters,Yes,Yes,No,67.7,100.0,A,High Grade,1
34,Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7,93.3,A,High Grade,1
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100.0,A,High Grade,1
36,Male,6.1,95.7,8.2,Unknown,Yes,Yes,Yes,78.5,92.9,A,High Grade,1
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B,High Grade,1
38,Male,5.0,76.6,6.7,Unknown,Yes,Yes,No,67.7,81.1,B,High Grade,1
39,Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6,89.5,B,High Grade,1
40,Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5,91.6,A,High Grade,1
41,Male,2.1,100.0,7.5,High School,Yes,Yes,Yes,68.4,75.3,C,Low Grade,0
42,Male,4.5,74.0,6.7,High School,Yes,No,No,54.1,79.0,C,Low Grade,0
43,Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100.0,A,High Grade,1
44,Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4,79.2,C,Low Grade,0
45,Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8,C,Low Grade,0
46,Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8,D,Low Grade,0
47,Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68.0,D,Low Grade,0
48,Male,4.6,79.2,6.6,Unknown,Yes,Yes,Yes,57.9,80.3,B,High Grade,1
49,Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73.0,88.6,B,High Grade,1
50,Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5,69.4,D,Low Grade,0
51,Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5,100.0,A,High Grade,1
52,Female,1.4,100.0,7.8,High School,No,No,No,72.9,81.8,B,High Grade,1
53,Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6,C,Low Grade,0
54,Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5,85.3,B,High Grade,1
55,Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1,99.8,A,High Grade,1
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B,High Grade,1
57,Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5,C,Low Grade,0
58,Male,3.4,72.0,7.6,Bachelors,Yes,No,No,66.9,84.3,B,High Grade,1
59,Male,1.5,89.0,6.2,Masters,Yes,No,No,59.4,74.5,C,Low Grade,0
60,Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2,89.5,B,High Grade,1
61,Male,4.0,79.7,7.2,Masters,Yes,Yes,No,67.4,80.4,B,High Grade,1
62,Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9,71.1,C,Low Grade,0
63,Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8,B,High Grade,1
64,Male,1.9,85.2,6.0,Unknown,Yes,No,No,62.5,73.0,C,Low Grade,0
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B,High Grade,1
66,Female,4.9,100.0,5.8,Bachelors,Yes,No,No,85.9,97.4,A,High Grade,1
67,Female,2.0,87.4,6.7,High School,Yes,Yes,No,63.9,67.8,D,Low Grade,0
68,Male,4.3,100.0,5.9,Bachelors,No,Yes,No,62.7,79.2,C,Low Grade,0
69,Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5,C,Low Grade,0
70,Female,2.3,67.4,8.6,High School,Yes,No,No,90.9,85.1,B,High Grade,1
71,Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5,79.6,C,Low Grade,0
72,Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4,C,Low Grade,0
73,Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81.0,94.6,A,High Grade,1
74,Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1,77.6,C,Low Grade,0
75,Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3,99.9,A,High Grade,1
76,Female,3.6,72.8,7.7,Masters,No,No,No,49.6,64.4,D,Low Grade,0
77,Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3,71.9,C,Low Grade,0
78,Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3,C,Low Grade,0
79,Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9,C,Low Grade,0
80,Female,3.2,90.9,7.9,High School,Yes,No,No,72.4,87.4,B,High Grade,1
